"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"1","26509856","114","290573873","290576137","223.33343787230805","1",,,"5","LINESTRING(126.5659873 45.7848181, 126.5671944 45.7837006)"
"2","26509856","114","290576137","5030596392","19.65919639985946","1",,,"5","LINESTRING(126.5671944 45.7837006, 126.5673006 45.7836022)"
"3","30320423","106","334304160","403208780","29.28187750583918","-1",,,"1.2","LINESTRING(126.5912057 45.7640134, 126.5914297 45.7639172)"
"4","30320423","106","403208780","5905870254","139.40742231476756","-1",,,"1.2","LINESTRING(126.5914297 45.7639172, 126.5924414 45.7634023)"
"5","30320423","106","5905870254","2504890750","78.08237432460427","-1",,,"1.2","LINESTRING(126.5924414 45.7634023, 126.5930069 45.7631128)"
"6","30320423","106","2504890750","2713933558","294.622716340037","-1",,,"1.2","LINESTRING(126.5930069 45.7631128, 126.5949329 45.7618464)"
"7","30320423","106","2713933558","10963991863","363.35496664547304","-1",,,"1.2","LINESTRING(126.5949329 45.7618464, 126.5953359 45.7615619, 126.5954381 45.7614868, 126.5955218 45.7614188, 126.5956206 45.7613221, 126.5957025 45.7612201, 126.5957852 45.7611123, 126.5965911 45.7599113)"
"8","30320423","106","10963991863","334304164","19.200035274134805","-1",,,"1.2","LINESTRING(126.5965911 45.7599113, 126.5966623 45.7598017)"
"9","30320423","106","334304164","3058314704","115.11184402380842","-1",,,"1.2","LINESTRING(126.5966623 45.7598017, 126.5968208 45.7595918, 126.5969192 45.7594819, 126.5970281 45.759385, 126.5971458 45.7592852, 126.5972435 45.759209)"
"10","30320423","106","3058314704","2191083395","201.35239604245226","-1",,,"1.2","LINESTRING(126.5972435 45.759209, 126.5985913 45.7583674)"
"11","30320423","106","2191083395","412477079","286.348019173562","-1",,,"1.2","LINESTRING(126.5985913 45.7583674, 126.5989992 45.7580971, 126.6005265 45.7571857)"
"12","30320475","104","334304999","334305000","236.78071697710266","-1",,,"1.1","LINESTRING(126.5570674 45.7821345, 126.5556213 45.7832223)"
"13","30320477","104","334305011","334305012","1808.760405428532","-1",,,"1.1","LINESTRING(126.586454 45.7601284, 126.5823446 45.7631707, 126.5753343 45.7683933)"
"14","30320481","104","334305000","6312425077","843.4227320642133","-1",,,"1.1","LINESTRING(126.5556213 45.7832223, 126.5538339 45.7845429, 126.5530183 45.7851545, 126.5516434 45.7864649, 126.5509126 45.7873354)"
"15","30320481","104","6312425077","334369610","609.7389011567557","-1",,,"1.1","LINESTRING(126.5509126 45.7873354, 126.5505807 45.7877307, 126.5500003 45.788618, 126.5496653 45.7892066, 126.5494234 45.7897284, 126.5491249 45.7904949, 126.5490095 45.7908971)"
